Stock NO,Shape,Carat,Clarity,Color,Cut,Polish,Symmetry,Fluorescent,CULET,Location,ImageLink,CertificateLink,VideoLink,PPC,Total Price
1126817,ROUND,0.23,VVS1,E,EX,EX,VG,M,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/6302669024.jpg,,1497.02,344.31
1126816,ROUND,0.23,VVS1,E,EX,VG,EX,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/1309673047.jpg,,1613.13,371.02
1126813,ROUND,0.23,VVS1,E,VG,EX,VG,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/6305672965.jpg,,1579.13,363.2
1126814,ROUND,0.23,VVS1,E,EX,EX,VG,M,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/6302672964.jpg,,1497.02,344.31
1126808,ROUND,0.23,VVS1,F,EX,EX,EX,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/1313491701.jpg,,1565.02,359.95
1126807,ROUND,0.23,VVS1,F,EX,EX,EX,M,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/7303669422.jpg,,1487.16,342.05
1118299,ROUND,0.23,VVS1,F,EX,EX,EX,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/6312051527.jpg,,1495.15,343.88
1126809,ROUND,0.23,VVS1,F,EX,EX,EX,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/6305672985.jpg,,1613.13,371.02
1072060,HEART,0.23,VVS2,F,EX,EX,EX,M,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/2307481337.jpg,,1215.16,279.49
1082614,ROUND,0.23,VVS2,F,EX,EX,EX,ST,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/1309949419.jpg,,1140.02,262.2
1111164,ROUND,0.23,SI1,G,VG,EX,GD,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/5316083558.jpg,,948.88,218.24
1126804,ROUND,0.23,VVS1,H,EX,EX,EX,N,NONE,MUMBAI,,https://diamanti.s3.amazonaws.com/certificates/6315490907.jpg,,1297.05,298.32
